date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:13:11	122191/122191	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202023%2009:13:10%20GMT	https://autourdunmoment.com/	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/index.html	(from )
09:13:11	78/78	---M-Z	200	added ('OK')	text/plain	etag:%2253-57a1163072a80-gzip%22	https://autourdunmoment.com/robots.txt		(from )
09:13:11	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2019%20Apr%202023%2009:13:11%20GMT	https://autourdunmoment.com/xmlrpc.php	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/xmlrpc.php	(from https://autourdunmoment.com/)
09:13:12	2042/2042	---M--	200	added ('OK')	image/webp	etag:%227fa-5a8fe982cd198;5ebdebc0c302a%22	https://autourdunmoment.com/wp-content/uploads/2020/02/Julie-jones_Fs_Favicon.png	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/wp-content/uploads/2020/02/Julie-jones_Fs_Favicon.png	(from https://autourdunmoment.com/)
09:13:13	15656/15656	---M-Z	200	added ('OK')	text/css	etag:%223d28-5f8ce568201f7-gzip%22	https://autourdunmoment.com/wp-content/uploads/hummingbird-assets/2cd1e220bada9cab69ef23c2f174e76f.css	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/wp-content/uploads/hummingbird-assets/2cd1e220bada9cab69ef23c2f174e76f.css	(from https://autourdunmoment.com/)
09:13:15	97517/97517	---M-Z	200	added ('OK')	text/css	etag:%2217ced-5f8153383762b-gzip%22	https://autourdunmoment.com/wp-includes/css/dist/block-library/style.min.css	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/wp-includes/css/dist/block-library/style.min.css	(from https://autourdunmoment.com/)
09:13:15	892/892	---M-Z	200	added ('OK')	application/rss+xml	etag:%224bee05b4f9c77aeb3eea3fb07282c2f3-gzip%22	https://autourdunmoment.com/comments/feed/	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/comments/feed/index.html	(from https://autourdunmoment.com/)
09:13:15	6702/6702	---M-Z	200	added ('OK')	application/rss+xml	etag:%224bee05b4f9c77aeb3eea3fb07282c2f3-gzip%22	https://autourdunmoment.com/feed/	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/feed/index.html	(from https://autourdunmoment.com/)
09:13:15	291/291	---M-Z	200	added ('OK')	text/css	etag:%22123-5f8153383a50c-gzip%22	https://autourdunmoment.com/wp-includes/css/classic-themes.min.css	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/wp-includes/css/classic-themes.min.css	(from https://autourdunmoment.com/)
09:13:17	66741/66741	---M-Z	200	added ('OK')	text/css	etag:%22104b5-5f99e9982214b-gzip%22	https://autourdunmoment.com/wp-content/uploads/hummingbird-assets/e2bfe02732e15ea5c260560b080a53ee.css	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/wp-content/uploads/hummingbird-assets/e2bfe02732e15ea5c260560b080a53ee.css	(from https://autourdunmoment.com/)
09:13:18	67147/67147	---M-Z	200	added ('OK')	text/css	etag:%221064b-5f8ce56ab6407-gzip%22	https://autourdunmoment.com/wp-content/uploads/hummingbird-assets/91bfdae30113d137f665124f40a37245.css	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/wp-content/uploads/hummingbird-assets/91bfdae30113d137f665124f40a37245.css	(from https://autourdunmoment.com/)
09:13:18	17858/17858	---M-Z	200	added ('OK')	text/css	etag:%2245c2-5f922b073959d-gzip%22	https://autourdunmoment.com/wp-content/uploads/hummingbird-assets/a1f9567123df32ae0914c28d51de8202.css	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/wp-content/uploads/hummingbird-assets/a1f9567123df32ae0914c28d51de8202.css	(from https://autourdunmoment.com/)
09:13:19	54313/54313	---M-Z	200	added ('OK')	text/css	etag:%22d429-5f8ce56c91da0-gzip%22	https://autourdunmoment.com/wp-content/uploads/hummingbird-assets/64996eddf6f3654dd26c5250fd309b2b.css	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/wp-content/uploads/hummingbird-assets/64996eddf6f3654dd26c5250fd309b2b.css	(from https://autourdunmoment.com/)
09:13:21	1567/1567	---M-Z	200	added ('OK')	text/css	etag:%2261f-5f8ce56d2d213-gzip%22	https://autourdunmoment.com/wp-content/uploads/hummingbird-assets/26284203b87c9574135245b007f0eb81.css	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/wp-content/uploads/hummingbird-assets/26284203b87c9574135245b007f0eb81.css	(from https://autourdunmoment.com/)
09:13:21	212864/212864	---M-Z	200	added ('OK')	text/css	etag:%2233f80-5f664f1d1c9ee-gzip%22	https://autourdunmoment.com/wp-content/themes/photography/css/screen.css	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/wp-content/themes/photography/css/screen.css	(from https://autourdunmoment.com/)
09:13:22	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22642ee9e0-302c%22	https://autourdunmoment.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://autourdunmoment.com/)
09:13:23	163819/163819	---M-Z	200	added ('OK')	text/css	etag:%2227feb-5f8ce62fbe374-gzip%22	https://autourdunmoment.com/wp-content/uploads/hummingbird-assets/04028a311946258ed2139b79c3ad6cfc.css	/workspaces/codespaces-blank/ADM-2023/autourdunmoment.com/wp-content/uploads/hummingbird-assets/04028a311946258ed2139b79c3ad6cfc.css	(from https://autourdunmoment.com/)
